customer_id,billing_date,amount_usd
1,2022-05-18,79
1,2022-06-17,79
1,2022-07-17,79
1,2022-08-16,79
1,2022-09-15,79
1,2022-10-15,79
1,2022-11-14,79
1,2022-12-14,79
1,2023-01-13,79
1,2023-02-12,79
1,2023-03-14,79
1,2023-04-13,79
1,2023-05-13,79
1,2023-06-12,79
1,2023-07-12,79
1,2023-08-11,79
1,2023-09-10,79
1,2023-10-10,79
1,2023-11-09,79
1,2023-12-09,79
1,2024-01-08,79
1,2024-02-07,79
1,2024-03-08,79
1,2024-04-07,79
1,2024-05-07,79
1,2024-06-06,79
1,2024-07-06,79
1,2024-08-05,79
1,2024-09-04,79
1,2024-10-04,79
1,2024-11-03,79
1,2024-12-03,79
1,2025-01-02,79
1,2025-02-01,79
1,2025-03-03,79
1,2025-04-02,79
1,2025-05-02,79
1,2025-06-01,79
1,2025-07-01,79
2,2022-09-19,29
2,2022-10-19,29
2,2022-11-18,29
2,2022-12-18,29
2,2023-01-17,29
2,2023-02-16,29
2,2023-03-18,29
2,2023-04-17,29
2,2023-05-17,29
2,2023-06-16,29
2,2023-07-16,29
2,2023-08-15,29
2,2023-09-14,29
2,2023-10-14,29
2,2023-11-13,29
2,2023-12-13,29
2,2024-01-12,29
2,2024-02-11,29
2,2024-03-12,29
2,2024-04-11,29
2,2024-05-11,29
2,2024-06-10,29
2,2024-07-10,29
2,2024-08-09,29
2,2024-09-08,29
2,2024-10-08,29
2,2024-11-07,29
2,2024-12-07,29
2,2025-01-06,29
2,2025-02-05,29
2,2025-03-07,29
2,2025-04-06,29
2,2025-05-06,29
2,2025-06-05,29
2,2025-07-05,29
3,2023-10-30,79
3,2023-11-29,79
3,2023-12-29,79
3,2024-01-28,79
3,2024-02-27,79
3,2024-03-28,79
3,2024-04-27,79
3,2024-05-27,79
3,2024-06-26,79
3,2024-07-26,79
3,2024-08-25,79
4,2022-01-30,29
4,2022-03-01,29
4,2022-03-31,29
4,2022-04-30,29
4,2022-05-30,29
4,2022-06-29,29
4,2022-07-29,29
4,2022-08-28,29
4,2022-09-27,29
4,2022-10-27,29
4,2022-11-26,29
4,2022-12-26,29
4,2023-01-25,29
4,2023-02-24,29
4,2023-03-26,29
4,2023-04-25,29
4,2023-05-25,29
4,2023-06-24,29
4,2023-07-24,29
4,2023-08-23,29
4,2023-09-22,29
4,2023-10-22,29
4,2023-11-21,29
4,2023-12-21,29
4,2024-01-20,29
4,2024-02-19,29
4,2024-03-20,29
